id,name,region,shortDesc,photo,videoEmbed,coordinates
31,Pantai Kartini,"Jepara, Jawa Tengah",Pantai dengan taman dan dermaga cantik dekat pusat kota Jepara.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-6.5790,110.6619"
32,Pulau Panjang,"Jepara, Jawa Tengah",Pulau kecil dengan pasir putih dan spot snorkel yang jernih.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-6.5550,110.6730"
33,Fort Vastenburg,"Solo (Surakarta), Jawa Tengah",Benteng peninggalan kolonial yang menarik untuk sejarah dan foto.,https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.5663,110.8190"
34,Keraton Kasunanan (Solo),"Solo, Jawa Tengah",Istana tradisional Solo dengan koleksi budaya Jawa.,https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.5648,110.8253"
35,Museum Batik Danar Hadi,"Solo, Jawa Tengah","Museum batik & workshop, cocok untuk edukasi dan belanja kain.",https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.5591,110.8257"
36,Curug Lawe,Kebumen area,Air terjun tersembunyi dengan kolam alami yang cantik.,https://images.unsplash.com/photo-1506784983877-45594efa4cbe,,"-7.6690,109.6490"
37,Grojogan Sewu Tawangmangu,"Karanganyar, Jawa Tengah",Salah satu air terjun populer dekat Tawangmangu.,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429,,"-7.6163,111.0468"
38,Pantai Nglambor,"Gunungkidul, DIY",Spot snorkeling tenang dengan bebatuan karang yang cantik.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-8.0223,110.5696"
39,Candi Sukuh,"Tawangmangu area, Karanganyar",Candi bercorak unik dengan relief yang berbeda dari candi-candi Jawa lain.,https://images.unsplash.com/photo-1506744038136-46273834b3fb,,"-7.6656,111.0056"
40,Teluk Awur / Jepara (gateway Karimunjawa),"Jepara, Jawa Tengah",Basis untuk perjalanan ke Karimunjawa dan snorkeling yang luar biasa.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-6.5996,110.6706"
41,Taman Nasional Karimunjawa,Jepara gateway,Pulau dan terumbu karang yang spektakuler untuk diving.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-5.8580,110.4310"
42,Air Terjun Grojogan Sewu Pringgodani,"Wonosobo, Jawa Tengah",Air terjun yang menyegarkan di rute Dieng–Wonosobo.,https://images.unsplash.com/photo-1506744038136-46273834b3fb,,"-7.2750,109.9500"
43,Desa Wisata Kandri,Semarang area,Desa dengan paket wisata budaya dan alam untuk pengalaman lokal.,https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.0450,110.4000"
44,Benteng Pendem,"Kota Cilacap, Jawa Tengah",Benteng peninggalan Belanda di tepi pantai Cilacap.,https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.7133,109.0146"
45,Puncak Gunung Lawu (Cetho),Karanganyar/Ngawi border,Kebun bunga Cetho & puncak yang menawarkan panorama pegunungan.,https://images.unsplash.com/photo-1501785888041-af3ef285b470,,"-7.7025,111.0647"
46,Situs Sangiran,"Sragen, Jawa Tengah",Situs penting paleoantropologi dengan museum fosil manusia purba.,https://images.unsplash.com/photo-1506744038136-46273834b3fb,,"-7.4686,110.8506"
47,Hutan Pinus Mangunan,"Bantul, DIY",Hutan pinus populer untuk foto kreatif dan piknik di dekat Imogiri.,https://images.unsplash.com/photo-1501785888041-af3ef285b470,,"-7.8930,110.3720"
48,Jembatan Gantung (viewpoint) Semarang area,Semarang/Bukit area,Spot jembatan dan viewpoint modern—cek nama lokal saat implementasi.,https://images.unsplash.com/photo-1470337458703-46ad1756a187,,"-7.0000,110.4500"
49,Pasar Tradisional Bantul / Malioboro,"Yogyakarta, DIY","Pusat jajanan, kerajinan, dan budaya Jogja yang hidup.",https://images.unsplash.com/photo-1549887534-8a0f3b4b3a2b,,"-7.7970,110.3695"
50,Pantai Menganti,"Kebumen, Jawa Tengah",Pantai dengan pemandangan tebing karang dan ombak yang indah.,https://images.unsplash.com/photo-1493558103817-58b2924bce98,,"-7.7960,109.6780"
